"Y","NagEa","NagEb","NagEc","NagE2a","NagE2b","NagE2c","NagK","NagA","NagB","Hex1","NahA","ChiX","ChiY","ChiZ","ChiR","NagKs","NagAs","NagBs","AtsA","AtsB","AtsE","AtsT","AtsR"
0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
1,"0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
0,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","0","0","0","0","0"
0,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
1,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
1,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
0,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
0,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
0,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
1,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
1,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
1,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
1,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
0,"1","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
0,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"1","1","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
1,"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
1,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
1,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
0,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
1,"1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1"
0,"0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
0,"0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
